Policy_ID,Rank,TOPSIS Score,Distance to Ideal,Distance to Nadir,Cost_carbon_abatement Score,Social_acceptance_tech Score,Deployment_difficulty Score,Acceptance_policy_instrument Score,Perceived_equity Score,Administrative_burden Score,Cost_gap Score
I_13,36,0.6508115378821413,0.05658004352887427,0.1054529262482808,0.0162257503417408,0.16549648654175375,0.24068094136121032,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.0
I_14,42,0.5800655876381599,0.06244453484506128,0.08625615032587776,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.06796276660305849,0.15056568396854866,0.2041241452319315,0.17297098303421085
I_15,24,0.724155351151058,0.0452448427768926,0.11877806999554108,0.020926360649912747,0.18167000681742515,0.05459191993960256,0.06796276660305849,0.20075424529139824,0.040824829046386304,0.020812690650590125
I_16,28,0.6860141418563798,0.05044094087190415,0.11020623339933952,0.015015406970575922,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.048652151075862654
I_17,29,0.6821736387306028,0.05104563480233108,0.10956292705029508,0.015015406970575922,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.048652151075862654
I_18,29,0.6821736387306028,0.05104563480233108,0.10956292705029508,0.015015406970575922,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.048652151075862654
I_19,27,0.6910160335117799,0.04985868768155701,0.1115046615181752,0.015015406970575922,0.18304914420527307,0.11022216219847476,0.13592553320611697,0.20075424529139824,0.2041241452319315,0.048652151075862654
I_20,37,0.596884817848857,0.06757762001899209,0.10006086895673376,0.013364657495710175,0.2256770271023915,0.22044432439694953,0.13592553320611697,0.15056568396854866,0.2041241452319315,0.06210062235331036
N_21,17,0.749030003115159,0.041065258320224854,0.12256090747627019,0.016666156445441668,0.14042126130815472,0.0,0.16990691650764622,0.05018856132284956,0.040824829046386304,0.03520367979841496
I_22,21,0.7412172485283225,0.04328079461832328,0.12396680736515023,0.018305904618032536,0.16549648654175375,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0
I_23,21,0.7412172485283225,0.04328079461832328,0.12396680736515023,0.018305904618032536,0.16549648654175375,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0
I_24,21,0.7412172485283225,0.04328079461832328,0.12396680736515023,0.018305904618032536,0.16549648654175375,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0
I_25,32,0.6787276226245674,0.05512507419331553,0.11645853546416042,0.007282178045302982,0.20812436943887216,0.081573147817522,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0
I_26,32,0.6787276226245674,0.05512507419331553,0.11645853546416042,0.007282178045302982,0.20812436943887216,0.081573147817522,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0
I_27,32,0.6787276226245674,0.05512507419331553,0.11645853546416042,0.007282178045302982,0.20812436943887216,0.081573147817522,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0
I_28,15,0.7517559469454387,0.039990226128760284,0.1211021570993321,0.010272218862742485,0.15045135140159432,0.0262433719520178,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.019660162443842333
I_29,15,0.7517559469454387,0.039990226128760284,0.1211021570993321,0.010272218862742485,0.15045135140159432,0.0262433719520178,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.019660162443842333
I_30,15,0.7517559469454387,0.039990226128760284,0.1211021570993321,0.010272218862742485,0.15045135140159432,0.0262433719520178,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.019660162443842333
N_31,47,0.4199300086227929,0.10496417954908553,0.07598670760140933,0.45422087608131445,0.16549648654175375,0.029888829928571094,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.4247753417267503
N_32,48,0.4183149852282434,0.10620631184375134,0.07637757659529483,0.45422087608131445,0.16549648654175375,0.029888829928571094,0.16990691650764622,0.05018856132284956,0.040824829046386304,0.4247753417267503
I_33,46,0.42830885912971417,0.10391415268837545,0.07785209355813251,0.45422087608131445,0.16549648654175375,0.029888829928571094,0.13592553320611697,0.15056568396854866,0.040824829046386304,0.4247753417267503
I_34,10,0.767801397874271,0.03236027177759362,0.10700435609416005,0.08697319316236739,0.05892677929895779,0.1313808808347891,0.10194414990458772,0.20075424529139824,0.040824829046386304,0.11655491437240945
I_35,34,0.6661015915305898,0.04824644276845009,0.09624793499636679,0.10854512549804875,0.057046137406437845,0.25198179196005704,0.10194414990458772,0.15056568396854866,0.2041241452319315,0.0899669114959465
I_36,4,0.8001484460254866,0.02902745592951355,0.11621762899594747,0.06540126082668604,0.06080742119147771,0.01077996970952116,0.10194414990458772,0.15056568396854866,0.12247448713915891,0.14314291724887238
I_37,4,0.8001484460254866,0.02902745592951355,0.11621762899594747,0.06540126082668604,0.06080742119147771,0.01077996970952116,0.10194414990458772,0.15056568396854866,0.12247448713915891,0.14314291724887238
I_38,8,0.7835364349582066,0.03190286090443157,0.11547926734552111,0.06540126082668604,0.06080742119147771,0.01077996970952116,0.13592553320611697,0.10037712264569912,0.12247448713915891,0.14314291724887238
I_39,13,0.754141528897216,0.0346557859425097,0.10630248890180691,0.08697319316236739,0.05892677929895779,0.1313808808347891,0.13592553320611697,0.20075424529139824,0.2041241452319315,0.11655491437240945
N_40,9,0.7720929906480519,0.03503795994051834,0.11870000555755271,0.09093145997848484,0.016298896401839385,0.0,0.13592553320611697,0.20075424529139824,0.2041241452319315,0.19327675799528377
N_41,7,0.789902003470495,0.03154856991353696,0.11861264263808519,0.12336113027310039,0.012537612616799526,0.0,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.13713489343515103
