Policy_ID,Rank,TOPSIS Score,Distance to Ideal,Distance to Nadir,Cost_carbon_abatement Score,Social_acceptance_tech Score,Deployment_difficulty Score,Acceptance_policy_instrument Score,Perceived_equity Score,Administrative_burden Score
N_21,16,0.7204495473443018,0.048270968999996604,0.12440258077045727,0.024311201469675248,0.14042126130815472,0.0,0.16990691650764622,0.05018856132284956,0.040824829046386304
I_22,21,0.7081507251024762,0.051190237952692015,0.12420933420888455,0.011043695030197618,0.16549648654175375,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891
I_23,21,0.7081507251024762,0.051190237952692015,0.12420933420888455,0.011043695030197618,0.16549648654175375,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891
I_24,21,0.7081507251024762,0.051190237952692015,0.12420933420888455,0.011043695030197618,0.16549648654175375,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891
I_25,33,0.6340079463265426,0.0652313377954234,0.11300023073372173,0.004393235689030389,0.20812436943887216,0.081573147817522,0.16990691650764622,0.10037712264569912,0.12247448713915891
I_26,33,0.6340079463265426,0.0652313377954234,0.11300023073372173,0.004393235689030389,0.20812436943887216,0.081573147817522,0.16990691650764622,0.10037712264569912,0.12247448713915891
I_27,33,0.6340079463265426,0.0652313377954234,0.11300023073372173,0.004393235689030389,0.20812436943887216,0.081573147817522,0.16990691650764622,0.10037712264569912,0.12247448713915891
I_28,18,0.7194821854470168,0.04721507469217665,0.12109892264669413,0.014159033998272303,0.15045135140159432,0.0262433719520178,0.16990691650764622,0.10037712264569912,0.12247448713915891
I_29,18,0.7194821854470168,0.04721507469217665,0.12109892264669413,0.014159033998272303,0.15045135140159432,0.0262433719520178,0.16990691650764622,0.10037712264569912,0.12247448713915891
I_30,18,0.7194821854470168,0.04721507469217665,0.12109892264669413,0.014159033998272303,0.15045135140159432,0.0262433719520178,0.16990691650764622,0.10037712264569912,0.12247448713915891
N_31,45,0.48378878973061173,0.09594367659620465,0.08991760399500105,0.44605007381960277,0.16549648654175375,0.029888829928571094,0.16990691650764622,0.10037712264569912,0.12247448713915891
N_32,46,0.48018549393442767,0.09783907349434648,0.09038013230443225,0.44605007381960277,0.16549648654175375,0.029888829928571094,0.16990691650764622,0.05018856132284956,0.040824829046386304
I_33,44,0.4940881038980361,0.09432957728694738,0.0921249773771235,0.44605007381960277,0.16549648654175375,0.029888829928571094,0.13592553320611697,0.15056568396854866,0.040824829046386304
I_34,11,0.7699632218727877,0.033187567836776594,0.11108313577403296,0.09967197293310641,0.05892677929895779,0.1313808808347891,0.10194414990458772,0.20075424529139824,0.040824829046386304
I_35,31,0.6375777054482474,0.05442820935746654,0.09575076742094574,0.10191843949315212,0.057046137406437845,0.25198179196005704,0.10194414990458772,0.15056568396854866,0.2041241452319315
I_36,2,0.8268744506809548,0.025856297815815586,0.12349368500021682,0.0974255063730607,0.06080742119147771,0.01077996970952116,0.10194414990458772,0.15056568396854866,0.12247448713915891
I_37,2,0.8268744506809548,0.025856297815815586,0.12349368500021682,0.0974255063730607,0.06080742119147771,0.01077996970952116,0.10194414990458772,0.15056568396854866,0.12247448713915891
I_38,6,0.8020928558201801,0.030230379981553875,0.12251994192742348,0.0974255063730607,0.06080742119147771,0.01077996970952116,0.13592553320611697,0.10037712264569912,0.12247448713915891
I_39,14,0.7521702319796443,0.036288127878296245,0.11013547638911239,0.09967197293310641,0.05892677929895779,0.1313808808347891,0.13592553320611697,0.20075424529139824,0.2041241452319315
N_40,4,0.8221533782506755,0.02802416312833956,0.1295507340088111,0.13313065869421445,0.016298896401839385,0.0,0.13592553320611697,0.20075424529139824,0.2041241452319315
N_41,5,0.8164713759567956,0.028959854103399955,0.1288349000085392,0.12995875900145684,0.012537612616799526,0.0,0.16990691650764622,0.15056568396854866,0.2041241452319315
N_42,47,0.4494479981998373,0.09879714653704418,0.0806539247768427,0.07387811998484738,0.10155466219607617,0.5039635839201141,0.16990691650764622,0.15056568396854866,0.2041241452319315
I_43,10,0.7722999650784836,0.035527466386380824,0.12050003004604806,0.05854845435914933,0.10155466219607617,0.02155993941904232,0.16990691650764622,0.10037712264569912,0.12247448713915891
I_44,8,0.79287665899382,0.03175236404841842,0.1215493541170442,0.05854845435914933,0.10155466219607617,0.02155993941904232,0.16990691650764622,0.15056568396854866,0.12247448713915891
I_45,47,0.4494479981998373,0.09879714653704418,0.0806539247768427,0.07387811998484738,0.10155466219607617,0.5039635839201141,0.16990691650764622,0.15056568396854866,0.2041241452319315
N_46,35,0.6165862721692595,0.05791935231073591,0.09314292873597885,0.06621328717199836,0.10155466219607617,0.2627617616695782,0.10194414990458772,0.15056568396854866,0.12247448713915891
N_47,9,0.778264000848993,0.03633672445967539,0.12753709214567116,0.13313065869421445,0.016298896401839385,0.0,0.16990691650764622,0.05018856132284956,0.040824829046386304
N_48,15,0.7411865166082104,0.03774368373018191,0.10808984563446042,0.09967197293310641,0.05892677929895779,0.1313808808347891,0.06796276660305849,0.15056568396854866,0.2041241452319315
