Policy_ID,Rank,TOPSIS Score,Distance to Ideal,Distance to Nadir,Cost_carbon_abatement Score,Social_acceptance_tech Score,Deployment_difficulty Score,Acceptance_policy_instrument Score,Perceived_equity Score,Administrative_burden Score
I_11,38,0.6168552403965353,0.05273966978763759,0.08490979158623181,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.16990691650764622,0.15056568396854866,0.2041241452319315
I_12,33,0.6670418688133147,0.04708460240763971,0.09432838017917085,0.021747388070767214,0.1479438288782344,0.17885464449778013,0.16990691650764622,0.15056568396854866,0.2041241452319315
I_13,37,0.6190170030803847,0.05541219349398969,0.09003312543629646,0.009788767184648928,0.16549648654175375,0.24068094136121032,0.16990691650764622,0.15056568396854866,0.2041241452319315
I_14,41,0.5968397075448966,0.05540899179808649,0.08202763783789614,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.06796276660305849,0.15056568396854866,0.2041241452319315
I_15,17,0.7623814460764002,0.03426052603206826,0.10992234801691639,0.02105327750434717,0.18167000681742515,0.05459191993960256,0.06796276660305849,0.20075424529139824,0.040824829046386304
I_16,31,0.6923314776114693,0.04441048629259301,0.09993475236822282,0.028761673064605347,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.15056568396854866,0.2041241452319315
I_17,25,0.7122099003703375,0.04033166718382908,0.09981098273960176,0.028761673064605347,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.10037712264569912,0.12247448713915891
I_18,25,0.7122099003703375,0.04033166718382908,0.09981098273960176,0.028761673064605347,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.10037712264569912,0.12247448713915891
I_19,30,0.6957152753821831,0.04398179208561239,0.10055977877652586,0.028761673064605347,0.18304914420527307,0.11022216219847476,0.13592553320611697,0.20075424529139824,0.2041241452319315
I_20,42,0.5954764153982982,0.058971493218180404,0.08680861815961322,0.033212144659535446,0.2256770271023915,0.22044432439694953,0.13592553320611697,0.15056568396854866,0.2041241452319315
N_21,8,0.7780183958594156,0.033091194763851604,0.11598059382856901,0.024311201469675248,0.14042126130815472,0.0,0.16990691650764622,0.05018856132284956,0.040824829046386304
I_22,14,0.7745882325644219,0.033409446077392435,0.11480573566524103,0.011043695030197618,0.16549648654175375,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891
