Policy_ID,Rank,TOPSIS Score,Distance to Ideal,Distance to Nadir,Cost_carbon_abatement Score,Social_acceptance_tech Score,Deployment_difficulty Score,Acceptance_policy_instrument Score,Perceived_equity Score,Administrative_burden Score,Cost_gap Score,Relevance Score
N_21,21,0.46441754440249394,0.35911098820779375,0.3113945230438073,0.016666156445441668,0.14042126130815472,0.0,0.16990691650764622,0.05018856132284956,0.040824829046386304,0.03520367979841496,0.0
I_22,19,0.4644835828185279,0.3591760289705451,0.31153362146549385,0.018305904618032536,0.16549648654175375,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0,0.0
I_23,19,0.4644835828185279,0.3591760289705451,0.31153362146549385,0.018305904618032536,0.16549648654175375,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0,0.0
I_24,19,0.4644835828185279,0.3591760289705451,0.31153362146549385,0.018305904618032536,0.16549648654175375,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0,0.0
I_25,11,0.47795607743423973,0.34990124428564845,0.3203512558602037,0.007282178045302982,0.20812436943887216,0.081573147817522,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0,0.019419091404719965
I_26,11,0.47795607743423973,0.34990124428564845,0.3203512558602037,0.007282178045302982,0.20812436943887216,0.081573147817522,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0,0.019419091404719965
I_27,11,0.47795607743423973,0.34990124428564845,0.3203512558602037,0.007282178045302982,0.20812436943887216,0.081573147817522,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0,0.019419091404719965
I_28,5,0.5049043325068313,0.3316626508699783,0.33823343719173876,0.010272218862742485,0.15045135140159432,0.0262433719520178,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.019660162443842333,0.05492828711620813
I_29,5,0.5049043325068313,0.3316626508699783,0.33823343719173876,0.010272218862742485,0.15045135140159432,0.0262433719520178,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.019660162443842333,0.05492828711620813
I_30,5,0.5049043325068313,0.3316626508699783,0.33823343719173876,0.010272218862742485,0.15045135140159432,0.0262433719520178,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.019660162443842333,0.05492828711620813
N_31,41,0.44246918956262593,0.3735337922272689,0.296444951968478,0.45422087608131445,0.16549648654175375,0.029888829928571094,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.4247753417267503,-0.022609976825023043
N_32,42,0.44243212894795186,0.3736215590105105,0.2964700628498773,0.45422087608131445,0.16549648654175375,0.029888829928571094,0.16990691650764622,0.05018856132284956,0.040824829046386304,0.4247753417267503,-0.022609976825023043
I_33,39,0.4426183308614937,0.37346038875738496,0.29656593151003324,0.45422087608131445,0.16549648654175375,0.029888829928571094,0.13592553320611697,0.15056568396854866,0.040824829046386304,0.4247753417267503,-0.022609976825023043
I_34,30,0.46342148132607036,0.35888843640988405,0.3099576390849401,0.08697319316236739,0.05892677929895779,0.1313808808347891,0.10194414990458772,0.20075424529139824,0.040824829046386304,0.11655491437240945,0.0
I_35,36,0.46240365240472947,0.3593341659254013,0.3090747016808311,0.10854512549804875,0.057046137406437845,0.25198179196005704,0.10194414990458772,0.15056568396854866,0.2041241452319315,0.0899669114959465,0.0
I_36,26,0.46413453853912867,0.35881716972684913,0.31078592196830357,0.06540126082668604,0.06080742119147771,0.01077996970952116,0.10194414990458772,0.15056568396854866,0.12247448713915891,0.14314291724887238,0.0
I_37,26,0.46413453853912867,0.35881716972684913,0.31078592196830357,0.06540126082668604,0.06080742119147771,0.01077996970952116,0.10194414990458772,0.15056568396854866,0.12247448713915891,0.14314291724887238,0.0
I_38,28,0.46403716443011445,0.3588781981742878,0.31071710649398293,0.06540126082668604,0.06080742119147771,0.01077996970952116,0.13592553320611697,0.10037712264569912,0.12247448713915891,0.14314291724887238,0.0
I_39,33,0.46333591741838476,0.3589420132363649,0.30989725677715874,0.08697319316236739,0.05892677929895779,0.1313808808347891,0.13592553320611697,0.20075424529139824,0.2041241452319315,0.11655491437240945,0.0
N_40,24,0.46422915388761077,0.3589512886876851,0.3110203816491281,0.09093145997848484,0.016298896401839385,0.0,0.13592553320611697,0.20075424529139824,0.2041241452319315,0.19327675799528377,0.0
N_41,23,0.4642785676587282,0.3588703680401167,0.3110120491552153,0.12336113027310039,0.012537612616799526,0.0,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.13713489343515103,0.0
N_42,37,0.46083550928406264,0.3609828865965364,0.3085398524050623,0.09372912072299708,0.10155466219607617,0.5039635839201141,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.04279892955674199,0.0
I_43,25,0.4642245653218606,0.3588598421292852,0.3109354095788598,0.07230073196950282,0.10155466219607617,0.02155993941904232,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.03686721194232814,0.0
I_44,22,0.46432667881087203,0.35879665584632503,0.3110083197866619,0.07230073196950282,0.10155466219607617,0.02155993941904232,0.16990691650764622,0.15056568396854866,0.12247448713915891,0.03686721194232814,0.0
I_45,37,0.46083550928406264,0.3609828865965364,0.3085398524050623,0.09372912072299708,0.10155466219607617,0.5039635839201141,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.04279892955674199,0.0
N_46,35,0.4624754078810545,0.3593870396185561,0.3092094206881931,0.08301492634624995,0.10155466219607617,0.2627617616695782,0.10194414990458772,0.15056568396854866,0.12247448713915891,0.03983307074953507,0.0
