Policy_ID,Rank,TOPSIS Score,Distance to Ideal,Distance to Nadir,Cost_carbon_abatement Score,Social_acceptance_tech Score,Deployment_difficulty Score,Acceptance_policy_instrument Score,Perceived_equity Score,Administrative_burden Score,Relevance Score
I_30,5,0.5047252732537226,0.3319000229816062,0.338233147677098,0.014159033998272303,0.15045135140159432,0.0262433719520178,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.05492828711620813
N_31,40,0.4436790315637836,0.3729268312394277,0.2974179021034513,0.44605007381960277,0.16549648654175375,0.029888829928571094,0.16990691650764622,0.10037712264569912,0.12247448713915891,-0.022609976825023043
N_32,41,0.4436266586324609,0.37304992328660164,0.2974529487051849,0.44605007381960277,0.16549648654175375,0.029888829928571094,0.16990691650764622,0.05018856132284956,0.040824829046386304,-0.022609976825023043
I_33,39,0.4438872732532472,0.3728238746061804,0.2975867394202093,0.44605007381960277,0.16549648654175375,0.029888829928571094,0.13592553320611697,0.15056568396854866,0.040824829046386304,-0.022609976825023043
I_34,30,0.46369586415770386,0.358907323213224,0.3103161625418125,0.09967197293310641,0.05892677929895779,0.1313808808347891,0.10194414990458772,0.20075424529139824,0.040824829046386304,0.0
I_35,35,0.46221995261840665,0.3595548921719972,0.30903609390612213,0.10191843949315212,0.057046137406437845,0.25198179196005704,0.10194414990458772,0.15056568396854866,0.2041241452319315,0.0
I_36,21,0.46473675981298923,0.3587565330771504,0.3114866410138029,0.0974255063730607,0.06080742119147771,0.01077996970952116,0.10194414990458772,0.15056568396854866,0.12247448713915891,0.0
I_37,21,0.46473675981298923,0.3587565330771504,0.3114866410138029,0.0974255063730607,0.06080742119147771,0.01077996970952116,0.10194414990458772,0.15056568396854866,0.12247448713915891,0.0
I_38,23,0.464600710211741,0.358842001387531,0.3113904928121656,0.0974255063730607,0.06080742119147771,0.01077996970952116,0.13592553320611697,0.10037712264569912,0.12247448713915891,0.0
I_39,33,0.4635762018796871,0.3589823394647421,0.3102317049580728,0.09967197293310641,0.05892677929895779,0.1313808808347891,0.13592553320611697,0.20075424529139824,0.2041241452319315,0.0
N_40,18,0.46519881205812363,0.3587972288370026,0.3121011104464128,0.13313065869421445,0.016298896401839385,0.0,0.13592553320611697,0.20075424529139824,0.2041241452319315,0.0
N_41,19,0.4651268675461662,0.35881580410953756,0.31202702260602544,0.12995875900145684,0.012537612616799526,0.0,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.0
N_42,37,0.459728120711038,0.36191066858040677,0.3079570081469257,0.07387811998484738,0.10155466219607617,0.5039635839201141,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.0
I_43,26,0.46435912797549744,0.35896331735751263,0.31119337923806023,0.05854845435914933,0.10155466219607617,0.02155993941904232,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0
I_44,24,0.46450194759389635,0.3588748614029928,0.31129538439060767,0.05854845435914933,0.10155466219607617,0.02155993941904232,0.16990691650764622,0.15056568396854866,0.12247448713915891,0.0
I_45,37,0.459728120711038,0.36191066858040677,0.3079570081469257,0.07387811998484738,0.10155466219607617,0.5039635839201141,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.0
N_46,36,0.46196536015829903,0.35969122290427835,0.3088367793264064,0.06621328717199836,0.10155466219607617,0.2627617616695782,0.10194414990458772,0.15056568396854866,0.12247448713915891,0.0
N_47,20,0.464904262971161,0.35898356839480283,0.3118937037510887,0.13313065869421445,0.016298896401839385,0.0,0.16990691650764622,0.05018856132284956,0.040824829046386304,0.0
N_48,34,0.4634059550854856,0.3590198593486612,0.3100517838259424,0.09967197293310641,0.05892677929895779,0.1313808808347891,0.06796276660305849,0.15056568396854866,0.2041241452319315,0.0
